SSDT[0] at 80501b8c with 284 entries
  Entry 0x00db: 0x80605ed6 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x00dc: 0x80605fa0 (NtSetEventBoostPriority) owned by ntoskrnl.exe
  Entry 0x00dd: 0x8060e0ac (NtSetHighEventPair) owned by ntoskrnl.exe
  Entry 0x00de: 0x8060dfdc (NtSetHighWaitLowEventPair) owned by ntoskrnl.exe
  Entry 0x00df: 0x8063a0f4 (NtSetInformationDebugObject) owned by ntoskrnl.exe
  Entry 0x00e0: 0x80570376 (NtSetInformationFile) owned by ntoskrnl.exe
  Entry 0x00e1: 0x805ccdae (NtSetInformationJobObject) owned by ntoskrnl.exe
  Entry 0x00e2: 0x806198fc (NtSetInformationKey) owned by ntoskrnl.exe
  Entry 0x00e3: 0x805ba5ce (NtSetInformationObject) owned by ntoskrnl.exe
  Entry 0x00e4: 0x805c3ea0 (NtSetInformationProcess) owned by ntoskrnl.exe
  Entry 0x00e5: 0x805c1e60 (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x00e6: 0x805f0aba (NtSetInformationToken) owned by ntoskrnl.exe
  Entry 0x00e7: 0x8060e514 (NtSetIntervalProfile) owned by ntoskrnl.exe
  Entry 0x00e8: 0x8056e162 (NtSetIoCompletion) owned by ntoskrnl.exe
  Entry 0x00e9: 0x805c9d2a (NtSetLdtEntries) owned by ntoskrnl.exe
  Entry 0x00ea: 0x8060e048 (NtSetLowEventPair) owned by ntoskrnl.exe
  Entry 0x00eb: 0x8060df70 (NtSetLowWaitHighEventPair) owned by ntoskrnl.exe
  Entry 0x00ec: 0x80570bc2 (NtSetQuotaInformationFile) owned by ntoskrnl.exe
  Entry 0x00ed: 0x805b60fe (NtSetSecurityObject) owned by ntoskrnl.exe
  Entry 0x00ee: 0x8060d742 (NtSetSystemEnvironmentValue) owned by ntoskrnl.exe
  Entry 0x00ef: 0x8060d486 (NtSetSystemEnvironmentValueEx) owned by ntoskrnl.exe
  Entry 0x00f0: 0x806067d6 (NtSetSystemInformation) owned by ntoskrnl.exe
  Entry 0x00f1: 0x806499d6 (NtSetSystemPowerState) owned by ntoskrnl.exe
  Entry 0x00f2: 0x8060af04 (NtSetSystemTime) owned by ntoskrnl.exe
  Entry 0x00f3: 0x805be2b6 (NtSetThreadExecutionState) owned by ntoskrnl.exe
  Entry 0x00f4: 0x8053520a (NtSetTimer) owned by ntoskrnl.exe
  Entry 0x00f5: 0x8060a3d6 (NtSetTimerResolution) owned by ntoskrnl.exe
  Entry 0x00f6: 0x8060c252 (NtSetUuidSeed) owned by ntoskrnl.exe
  Entry 0x00f7: 0x80619154 (NtSetValueKey) owned by ntoskrnl.exe
  Entry 0x00f8: 0x805714f8 (NtSetVolumeInformationFile) owned by ntoskrnl.exe
  Entry 0x00f9: 0x806099f2 (NtShutdownSystem) owned by ntoskrnl.exe
  Entry 0x00fa: 0x80522c50 (NtSignalAndWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x00fb: 0x8060e75e (NtStartProfile) owned by ntoskrnl.exe
  Entry 0x00fc: 0x8060e908 (NtStopProfile) owned by ntoskrnl.exe
  Entry 0x00fd: 0x805caea8 (NtSuspendProcess) owned by ntoskrnl.exe
  Entry 0x00fe: 0x805cad1a (NtSuspendThread) owned by ntoskrnl.exe
  Entry 0x00ff: 0x8060eb2c (NtSystemDebugControl) owned by ntoskrnl.exe
  Entry 0x0100: 0x805cd918 (NtTerminateJobObject) owned by ntoskrnl.exe
  Entry 0x0101: 0x805c866a (NtTerminateProcess) owned by ntoskrnl.exe
  Entry 0x0102: 0x805c8864 (NtTerminateThread) owned by ntoskrnl.exe
  Entry 0x0103: 0x805cb068 (NtTestAlert) owned by ntoskrnl.exe
  Entry 0x0104: 0x805318d6 (NtTraceEvent) owned by ntoskrnl.exe
  Entry 0x0105: 0x8060d4b0 (NtTranslateFilePath) owned by ntoskrnl.exe
  Entry 0x0106: 0x80579828 (NtUnloadDriver) owned by ntoskrnl.exe
  Entry 0x0107: 0x8061947e (NtUnloadKey) owned by ntoskrnl.exe
  Entry 0x0108: 0x806196a0 (NtUnloadKeyEx) owned by ntoskrnl.exe
  Entry 0x0109: 0x8056e948 (NtUnlockFile) owned by ntoskrnl.exe
  Entry 0x010a: 0x805ac60c (NtUnlockVirtualMemory) owned by ntoskrnl.exe
  Entry 0x010b: 0x805a83c4 (NtUnmapViewOfSection) owned by ntoskrnl.exe
  Entry 0x010c: 0x805f1e72 (NtVdmControl) owned by ntoskrnl.exe
  Entry 0x010d: 0x80639e5c (NtWaitForDebugEvent) owned by ntoskrnl.exe
  Entry 0x010e: 0x805b62b4 (NtWaitForMultipleObjects) owned by ntoskrnl.exe
  Entry 0x010f: 0x805b61ca (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0110: 0x8060df0c (NtWaitHighEventPair) owned by ntoskrnl.exe
  Entry 0x0111: 0x8060dea8 (NtWaitLowEventPair) owned by ntoskrnl.exe
  Entry 0x0112: 0x8057233a (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0113: 0x8057294a (NtWriteFileGather) owned by ntoskrnl.exe
  Entry 0x0114: 0x8059b2c2 (NtWriteRequestData) owned by ntoskrnl.exe
  Entry 0x0115: 0x805a994e (NtWriteVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0116: 0x8050222c (NtYieldExecution) owned by ntoskrnl.exe
  Entry 0x0117: 0x8060ef84 (NtCreateKeyedEvent) owned by ntoskrnl.exe
  Entry 0x0118: 0x8060f06e (NtOpenKeyedEvent) owned by ntoskrnl.exe
  Entry 0x0119: 0x8060f120 (NtReleaseKeyedEvent) owned by ntoskrnl.exe
  Entry 0x011a: 0x8060f3ac (NtWaitForKeyedEvent) owned by ntoskrnl.exe
  Entry 0x011b: 0x805c18e4 (NtQueryPortInformationProcess) owned by ntoskrnl.exe
SSDT[1] at bf99d900 with 667 entries
  Entry 0x1000: 0xbf939a6f (NtGdiAbortDoc) owned by win32k.sys
  Entry 0x1001: 0xbf94b0a0 (NtGdiAbortPath) owned by win32k.sys
  Entry 0x1002: 0xbf86fc7f (NtGdiAddFontResourceW) owned by win32k.sys
  Entry 0x1003: 0xbf942ba4 (NtGdiAddRemoteFontToDC) owned by win32k.sys
  Entry 0x1004: 0xbf94c6c2 (NtGdiAddFontMemResourceEx) owned by win32k.sys
  Entry 0x1005: 0xbf939d03 (NtGdiRemoveMergeFont) owned by win32k.sys
  Entry 0x1006: 0xbf939da8 (NtGdiAddRemoteMMInstanceToDC) owned by win32k.sys
  Entry 0x1007: 0xbf831475 (NtGdiAlphaBlend) owned by win32k.sys
  Entry 0x1008: 0xbf94bfde (NtGdiAngleArc) owned by win32k.sys
  Entry 0x1009: 0xbf937e6e (NtGdiAnyLinkedFonts) owned by win32k.sys
  Entry 0x100a: 0xbf94c5d6 (NtGdiFontIsLinked) owned by win32k.sys
  Entry 0x100b: 0xbf910430 (NtGdiArcInternal) owned by win32k.sys
  Entry 0x100c: 0xbf9002c7 (NtGdiBeginPath) owned by win32k.sys
  Entry 0x100d: 0xbf8098f2 (NtGdiBitBlt) owned by win32k.sys
  Entry 0x100e: 0xbf94c4a8 (NtGdiCancelDC) owned by win32k.sys
  Entry 0x100f: 0xbf94dcaf (NtGdiCheckBitmapBits) owned by win32k.sys
  Entry 0x1010: 0xbf8febc4 (NtGdiCloseFigure) owned by win32k.sys
  Entry 0x1011: 0xbf876d70 (NtGdiClearBitmapAttributes) owned by win32k.sys
  Entry 0x1012: 0xbf94c586 (NtGdiClearBrushAttributes) owned by win32k.sys
  Entry 0x1013: 0xbf94dde2 (NtGdiColorCorrectPalette) owned by win32k.sys
  Entry 0x1014: 0xbf81c618 (NtGdiCombineRgn) owned by win32k.sys
  Entry 0x1015: 0xbf8e5515 (NtGdiCombineTransform) owned by win32k.sys
  Entry 0x1016: 0xbf8ac66a (NtGdiComputeXformCoefficients) owned by win32k.sys
